SYMBOL ENSEMBL HOCOID
THAP1 ENSG00000131931 THAP1
THB ENSG00000151090 THB.C
THB ENSG00000151090 THB.S
TLX1 ENSG00000107807 TLX1.S
TLX1 ENSG00000107807 TLX1.D
TWST1 ENSG00000122691 TWST1
TYY1 ENSG00000100811 TYY1
TYY2 ENSG00000230797 TYY2
UBIP1 ENSG00000153560 UBIP1
UNC4 ENSG00000164853 UNC4
USF1 ENSG00000158773 USF1
USF2 ENSG00000105698 USF2
VAX1 ENSG00000148704 VAX1
VAX2 ENSG00000116035 VAX2
VDR ENSG00000111424 VDR.B
VDR ENSG00000111424 VDR.S
VENTX ENSG00000151650 VENTX
VSX1 ENSG00000100987 VSX1
VSX2 ENSG00000119614 VSX2
WT1 ENSG00000184937 WT1
XBP1 ENSG00000100219 XBP1
YBOX1 ENSG00000065978 YBOX1
ZBED1 ENSG00000214717 ZBED1
ZBT18 ENSG00000179456 ZBT18
ZBT49 ENSG00000168826 ZBT49
ZBT7A ENSG00000178951 ZBT7A
ZBT7B ENSG00000160685 ZBT7B
ZBTB4 ENSG00000174282 ZBTB4.S
ZBTB4 ENSG00000174282 ZBTB4.D
ZBTB6 ENSG00000186130 ZBTB6
ZEB1 ENSG00000148516 ZEB1
ZEP1 ENSG00000095951 ZEP1
ZEP2 ENSG00000010818 ZEP2
ZFHX3 ENSG00000140836 ZFHX3
ZFX ENSG00000005889 ZFX
ZIC1 ENSG00000152977 ZIC1
ZIC2 ENSG00000043355 ZIC2
ZIC3 ENSG00000156925 ZIC3
ZIC4 ENSG00000174963 ZIC4
ZKSC1 ENSG00000106261 ZKSC1
ZKSC3 ENSG00000189298 ZKSC3
ZN143 ENSG00000166478 ZN143
ZN148 ENSG00000163848 ZN148
ZN219 ENSG00000165804 ZN219
ZN232 ENSG00000167840 ZN232
ZN282 ENSG00000170265 ZN282
ZN333 ENSG00000160961 ZN333
ZN350 ENSG00000256683 ZN350
ZN384 ENSG00000126746 ZN384
ZN410 ENSG00000119725 ZN410
ZN423 ENSG00000102935 ZN423
ZN524 ENSG00000171443 ZN524
ZN589 ENSG00000164048 ZN589
ZN639 ENSG00000121864 ZN639
ZN652 ENSG00000198740 ZN652
ZN713 ENSG00000178665 ZN713
ZN740 ENSG00000139651 ZN740
ZN784 ENSG00000179922 ZN784
ZSC16 ENSG00000196812 ZSC16
ZSCA4 ENSG00000180532 ZSCA4
